graph number,cube0_cluster0,cube0_cluster1,cube1_cluster0,cube1_cluster1,cube2_cluster0,cube2_cluster1,cube3_cluster0,cube3_cluster1,Graph Label
66,0,2,4,6,2,0,10,0,tensor([[0]])
67,0,7,9,5,7,0,11,3,tensor([[0]])
68,6,5,12,4,5,6,13,3,tensor([[0]])
69,1,5,6,4,5,1,6,4,tensor([[0]])
70,7,6,13,2,7,7,15,1,tensor([[0]])
71,9,29,39,2,29,9,12,29,tensor([[0]])
72,0,12,13,0,12,0,6,7,tensor([[0]])
73,0,6,10,4,6,0,10,4,tensor([[0]])
74,16,11,32,6,11,16,29,9,tensor([[0]])
75,0,8,12,0,8,0,6,6,tensor([[0]])
76,0,12,18,10,12,0,16,12,tensor([[0]])
77,0,9,11,3,9,0,9,5,tensor([[0]])
78,10,11,27,5,11,10,22,10,tensor([[0]])
79,2,3,5,5,3,2,8,2,tensor([[0]])
80,2,0,7,8,0,2,11,4,tensor([[1]])
81,2,6,8,4,6,2,9,3,tensor([[0]])
82,9,4,13,1,4,9,12,2,tensor([[0]])
83,3,9,12,2,9,3,8,6,tensor([[0]])
84,1,14,15,3,14,1,10,8,tensor([[0]])
85,8,7,15,1,7,8,12,4,tensor([[0]])
86,2,10,16,0,10,2,11,5,tensor([[0]])
87,0,3,9,3,3,0,8,4,tensor([[0]])
88,12,9,21,7,9,12,18,10,tensor([[0]])
89,17,11,32,7,11,17,31,8,tensor([[0]])
90,0,2,2,5,2,0,2,5,tensor([[0]])
91,3,2,5,2,2,3,3,4,tensor([[0]])
92,0,3,5,2,3,0,7,0,tensor([[0]])
93,0,12,14,1,12,0,14,1,tensor([[0]])
94,0,3,6,0,3,0,5,1,tensor([[0]])
95,0,3,6,5,3,0,6,5,tensor([[0]])
96,10,3,16,0,3,10,15,1,tensor([[0]])
97,0,0,2,4,0,0,3,3,tensor([[0]])
98,4,15,19,7,15,4,19,7,tensor([[0]])
99,7,3,10,4,3,7,11,3,tensor([[0]])
100,4,4,9,1,4,4,9,1,tensor([[0]])
101,0,10,14,8,10,0,7,15,tensor([[0]])
102,2,3,6,2,3,2,3,5,tensor([[0]])
103,7,11,18,5,11,7,15,8,tensor([[0]])
104,7,22,33,11,22,7,29,15,tensor([[0]])
105,10,8,18,3,8,10,15,6,tensor([[0]])
106,3,53,59,7,53,3,10,56,tensor([[0]])
107,3,2,5,1,2,3,3,3,tensor([[0]])
108,4,18,23,2,18,4,11,14,tensor([[0]])
109,5,10,16,1,10,5,10,7,tensor([[0]])
110,5,4,10,3,4,5,11,2,tensor([[0]])
111,7,8,17,4,8,7,15,6,tensor([[0]])
112,0,11,12,2,11,0,6,8,tensor([[0]])
113,7,11,18,3,11,7,16,5,tensor([[0]])
114,7,7,15,2,7,7,16,1,tensor([[0]])
115,10,3,13,4,3,10,13,4,tensor([[0]])
116,0,4,7,5,4,0,3,9,tensor([[0]])
117,10,9,21,5,9,10,15,11,tensor([[0]])
118,3,4,7,2,4,3,3,6,tensor([[0]])
119,9,2,11,3,2,9,13,1,tensor([[0]])
120,5,3,8,6,3,5,6,8,tensor([[0]])
121,7,8,15,1,8,7,11,5,tensor([[0]])
122,2,8,13,6,8,2,6,13,tensor([[0]])
123,5,7,12,2,7,5,8,6,tensor([[0]])
124,1,9,10,2,9,1,1,11,tensor([[0]])
125,3,6,9,2,6,3,3,8,tensor([[0]])
126,3,6,9,3,6,3,4,8,tensor([[0]])
127,3,5,8,2,5,3,3,7,tensor([[0]])
128,0,9,13,7,9,0,8,12,tensor([[0]])
129,4,2,7,7,2,4,10,4,tensor([[0]])
130,0,6,6,4,6,0,8,2,tensor([[0]])
131,9,5,14,4,5,9,15,3,tensor([[0]])
132,4,4,9,2,4,4,7,4,tensor([[0]])
133,3,3,6,6,3,3,3,9,tensor([[0]])
134,0,4,8,8,4,0,4,12,tensor([[0]])
135,6,9,16,6,9,6,21,1,tensor([[0]])
136,10,14,27,4,14,10,26,5,tensor([[0]])
137,0,2,3,4,2,0,4,3,tensor([[0]])
138,1,0,7,12,0,1,13,6,tensor([[0]])
139,2,7,14,7,7,2,11,10,tensor([[0]])
140,2,18,23,1,18,2,13,11,tensor([[0]])
141,2,18,22,2,18,2,12,12,tensor([[0]])
142,6,13,21,1,13,6,14,8,tensor([[0]])
143,3,16,21,3,16,3,14,10,tensor([[0]])
144,3,14,20,2,14,3,13,9,tensor([[0]])
145,9,18,27,0,18,9,18,9,tensor([[0]])
146,3,16,22,4,16,3,15,11,tensor([[0]])
147,6,16,22,0,16,6,14,8,tensor([[0]])
148,0,19,20,6,19,0,11,15,tensor([[0]])
149,3,17,21,4,17,3,14,11,tensor([[0]])
150,0,1,1,3,1,0,1,3,tensor([[0]])
151,2,50,58,32,50,2,51,39,tensor([[0]])
152,8,16,28,6,16,8,26,8,tensor([[0]])
153,1,1,2,1,1,1,2,1,tensor([[0]])
154,4,8,12,5,8,4,14,3,tensor([[0]])
155,3,8,11,7,8,3,14,4,tensor([[0]])
156,7,7,14,6,7,7,12,8,tensor([[0]])
157,3,8,11,7,8,3,12,6,tensor([[0]])
158,4,5,9,7,5,4,6,10,tensor([[0]])
159,4,10,15,4,10,4,8,11,tensor([[0]])
160,8,14,24,4,14,8,20,8,tensor([[0]])
161,8,16,25,5,16,8,19,11,tensor([[0]])
162,4,19,25,2,19,4,20,7,tensor([[0]])
163,6,6,12,6,6,6,18,0,tensor([[0]])
164,0,4,5,6,4,0,10,1,tensor([[0]])
165,0,3,4,2,3,0,3,3,tensor([[0]])
166,5,2,7,2,2,5,8,1,tensor([[0]])
167,0,3,3,16,3,0,2,17,tensor([[0]])
168,6,5,11,7,5,6,13,5,tensor([[0]])
169,3,5,9,7,5,3,6,10,tensor([[0]])
170,8,7,18,3,7,8,19,2,tensor([[0]])
171,0,3,5,1,3,0,1,5,tensor([[0]])
172,2,4,6,2,4,2,2,6,tensor([[0]])
173,5,7,12,2,7,5,11,3,tensor([[0]])
174,0,16,16,4,16,0,6,14,tensor([[0]])
175,12,7,20,6,7,12,24,2,tensor([[0]])
176,4,7,11,7,7,4,11,7,tensor([[0]])
177,0,22,24,9,22,0,12,21,tensor([[0]])
178,1,25,30,13,25,1,13,30,tensor([[0]])
179,9,33,43,3,33,9,22,24,tensor([[0]])
180,7,26,34,10,26,7,22,22,tensor([[0]])
181,9,24,32,11,24,7,21,22,tensor([[0]])
182,10,6,16,3,6,10,17,2,tensor([[0]])
183,0,9,9,4,9,0,5,8,tensor([[0]])
184,0,10,10,5,10,0,5,10,tensor([[0]])
185,8,8,16,5,8,8,17,4,tensor([[0]])
186,0,16,16,5,16,0,5,16,tensor([[0]])
187,2,4,6,6,4,2,9,3,tensor([[0]])
188,2,4,6,6,4,2,9,3,tensor([[0]])
189,2,4,6,7,4,2,9,4,tensor([[0]])
190,7,6,13,5,6,7,15,3,tensor([[0]])
191,4,7,11,6,7,4,14,3,tensor([[0]])
192,4,15,19,15,15,4,18,16,tensor([[0]])
193,8,13,22,5,13,8,13,14,tensor([[0]])
194,0,6,9,0,6,0,3,6,tensor([[0]])
195,4,6,11,8,6,4,7,12,tensor([[0]])
196,0,3,3,13,3,0,4,12,tensor([[0]])
197,0,7,7,11,7,0,6,12,tensor([[0]])
198,0,4,4,12,4,0,3,13,tensor([[0]])
199,10,7,17,5,7,10,17,5,tensor([[0]])
200,3,3,6,5,3,3,5,6,tensor([[0]])
201,3,4,7,5,4,3,11,1,tensor([[0]])
202,4,5,9,7,5,4,12,4,tensor([[0]])
203,5,5,10,3,5,5,12,1,tensor([[1]])
204,6,8,14,7,8,6,15,6,tensor([[0]])
205,3,20,23,2,20,3,5,20,tensor([[0]])
206,7,4,16,5,4,7,21,0,tensor([[0]])
207,4,6,10,3,6,4,10,3,tensor([[0]])
208,2,5,7,7,5,2,9,5,tensor([[0]])
209,7,4,12,5,4,7,16,1,tensor([[0]])
210,8,6,17,4,6,8,19,2,tensor([[0]])
211,11,6,17,2,6,11,17,2,tensor([[0]])
212,1,16,25,8,16,1,13,20,tensor([[0]])
213,0,10,13,2,10,0,3,12,tensor([[0]])
214,0,2,3,4,2,0,4,3,tensor([[0]])
215,5,5,10,2,5,5,10,2,tensor([[0]])
216,10,9,20,1,9,10,17,4,tensor([[0]])
217,10,9,20,2,9,10,18,4,tensor([[0]])
218,11,9,21,1,9,11,18,4,tensor([[0]])
219,7,5,12,2,5,7,13,1,tensor([[0]])
220,6,7,13,3,7,6,14,2,tensor([[0]])
221,17,11,28,7,11,17,28,7,tensor([[0]])
222,10,9,21,9,9,10,20,10,tensor([[0]])
223,22,18,41,10,18,22,37,14,tensor([[0]])
224,3,8,12,3,8,3,9,6,tensor([[0]])
225,9,7,16,6,7,9,18,4,tensor([[0]])
226,10,13,23,5,13,10,16,12,tensor([[0]])
227,9,9,20,2,9,9,16,6,tensor([[0]])
228,0,3,3,7,3,0,10,0,tensor([[0]])
229,4,9,13,9,9,4,21,1,tensor([[0]])
230,0,7,7,5,7,0,4,8,tensor([[0]])
231,0,1,2,7,1,0,5,4,tensor([[0]])
232,9,6,15,8,6,9,15,8,tensor([[0]])
233,10,4,14,12,4,10,21,5,tensor([[0]])
234,1,11,12,11,11,1,19,4,tensor([[1]])
235,8,5,13,9,5,8,15,7,tensor([[1]])
236,14,15,29,11,15,14,26,14,tensor([[0]])
237,10,34,46,13,34,10,23,36,tensor([[0]])
238,8,8,16,5,8,8,16,5,tensor([[0]])
239,0,8,9,4,8,0,5,8,tensor([[0]])
240,3,7,10,7,7,3,5,12,tensor([[0]])
241,10,5,15,5,5,10,16,4,tensor([[0]])
242,5,17,24,4,17,5,15,13,tensor([[0]])
243,2,0,2,6,0,2,3,5,tensor([[0]])
244,4,2,7,5,2,4,9,3,tensor([[1]])
245,1,2,4,3,2,1,5,2,tensor([[0]])
246,0,5,5,1,5,0,3,3,tensor([[0]])
247,4,1,5,7,1,4,8,4,tensor([[0]])
248,1,6,7,9,6,1,9,7,tensor([[0]])
249,1,12,13,16,12,1,17,12,tensor([[0]])
250,10,11,23,8,11,10,22,9,tensor([[0]])
251,1,2,3,3,2,1,4,2,tensor([[0]])
252,0,4,5,4,4,0,5,4,tensor([[0]])
253,3,7,10,3,7,3,4,9,tensor([[0]])
254,5,2,8,5,2,5,10,3,tensor([[0]])
255,12,7,20,11,7,12,22,9,tensor([[0]])
256,18,7,26,1,7,18,26,1,tensor([[0]])
257,0,3,7,4,3,0,5,6,tensor([[0]])
258,4,4,8,2,4,4,6,4,tensor([[0]])
259,2,8,11,5,8,2,13,3,tensor([[0]])
260,0,11,12,8,11,0,7,13,tensor([[0]])
261,2,3,5,2,3,2,3,4,tensor([[0]])
262,0,4,6,2,4,0,3,5,tensor([[0]])
263,5,3,8,4,3,5,9,3,tensor([[0]])
264,5,8,13,7,8,5,19,1,tensor([[0]])
265,4,8,13,6,8,4,12,7,tensor([[0]])
266,1,5,6,3,5,1,8,1,tensor([[0]])
267,1,6,8,4,6,1,10,2,tensor([[0]])
268,1,7,9,4,7,1,9,4,tensor([[0]])
269,2,6,8,2,6,2,7,3,tensor([[0]])
270,0,16,16,6,16,0,6,16,tensor([[0]])
271,12,15,28,6,15,12,22,12,tensor([[1]])
272,20,21,41,7,21,20,38,10,tensor([[0]])
273,7,5,12,1,5,7,12,1,tensor([[0]])
274,14,5,20,4,5,14,22,2,tensor([[0]])
275,4,6,13,4,6,4,13,4,tensor([[0]])
276,16,17,33,10,17,16,34,9,tensor([[0]])
277,20,7,27,9,7,20,24,12,tensor([[0]])
278,7,8,15,5,8,7,16,4,tensor([[0]])
279,22,18,40,8,18,22,40,8,tensor([[1]])
280,26,15,41,7,15,26,42,6,tensor([[0]])
281,1,15,17,14,15,1,13,18,tensor([[0]])
282,8,3,11,2,3,8,10,3,tensor([[0]])
283,3,9,12,1,9,3,9,4,tensor([[0]])
284,2,14,16,6,14,2,4,18,tensor([[0]])
285,12,15,27,3,15,11,22,8,tensor([[0]])
286,5,16,22,7,16,5,20,9,tensor([[0]])
287,0,7,9,2,7,0,2,9,tensor([[0]])
288,4,7,11,0,7,4,4,7,tensor([[0]])
289,2,7,9,6,7,1,4,11,tensor([[0]])
290,16,19,35,1,19,16,34,2,tensor([[0]])
291,1,6,7,1,6,1,1,7,tensor([[0]])
292,3,7,10,4,7,3,12,2,tensor([[0]])
293,8,8,16,6,8,8,15,7,tensor([[0]])
294,4,18,24,5,18,3,18,11,tensor([[0]])
295,13,11,24,7,11,13,24,7,tensor([[0]])
296,0,15,16,4,15,0,7,13,tensor([[0]])
297,12,18,31,3,18,12,22,12,tensor([[0]])
298,0,21,21,0,21,0,0,21,tensor([[0]])
299,12,20,36,5,20,12,23,18,tensor([[0]])
300,4,4,8,2,4,4,9,1,tensor([[0]])
301,3,18,22,0,18,3,4,18,tensor([[0]])
302,1,17,18,8,17,1,5,21,tensor([[0]])
303,7,27,35,2,27,7,14,23,tensor([[0]])
304,2,16,18,6,16,2,5,19,tensor([[0]])
305,6,9,18,1,9,6,18,1,tensor([[0]])
306,0,6,6,4,6,0,5,5,tensor([[0]])
307,12,5,20,7,5,12,21,6,tensor([[0]])
308,6,7,14,5,7,6,10,9,tensor([[0]])
309,10,3,13,7,3,10,15,5,tensor([[0]])
310,6,9,15,5,9,6,9,11,tensor([[0]])
311,8,6,14,7,6,8,12,9,tensor([[0]])
312,11,6,17,7,6,11,15,9,tensor([[0]])
313,5,9,14,3,9,5,11,6,tensor([[0]])
314,1,7,9,4,7,1,4,9,tensor([[0]])
315,5,5,10,2,5,5,10,2,tensor([[0]])
316,7,10,18,2,10,7,15,5,tensor([[0]])
317,0,13,14,11,13,0,15,10,tensor([[0]])
318,0,16,17,6,16,0,4,19,tensor([[0]])
319,0,5,5,7,5,0,4,8,tensor([[0]])
320,9,3,12,4,3,9,12,4,tensor([[0]])
321,1,9,12,1,9,1,2,11,tensor([[0]])
322,2,8,10,8,8,2,15,3,tensor([[0]])
323,9,5,14,3,5,9,14,3,tensor([[0]])
324,11,5,16,6,5,11,15,7,tensor([[0]])
325,5,31,36,1,31,5,9,28,tensor([[0]])
326,0,7,9,5,7,0,3,11,tensor([[1]])
327,6,18,25,11,18,6,24,12,tensor([[0]])
328,8,9,17,12,9,8,21,8,tensor([[0]])
329,5,3,8,5,3,5,8,5,tensor([[0]])
330,2,5,7,5,5,2,9,3,tensor([[0]])
331,3,4,7,1,4,3,5,3,tensor([[0]])
332,4,24,28,4,24,4,16,16,tensor([[0]])
333,0,7,8,3,7,0,4,7,tensor([[0]])
334,1,17,18,7,17,1,7,18,tensor([[0]])
335,4,7,11,5,7,4,10,6,tensor([[0]])
336,0,9,10,3,9,0,4,9,tensor([[0]])
337,3,12,16,1,12,3,4,13,tensor([[0]])
338,2,4,7,4,4,2,3,8,tensor([[0]])
339,15,5,21,2,5,15,20,3,tensor([[0]])
340,15,4,20,3,4,15,20,3,tensor([[0]])
341,20,5,26,2,5,20,25,3,tensor([[0]])
342,20,5,26,2,5,20,25,3,tensor([[0]])
343,0,2,3,4,2,0,4,3,tensor([[0]])
344,1,2,5,1,2,1,4,2,tensor([[0]])
345,4,11,15,0,11,4,6,9,tensor([[0]])
346,2,14,16,8,14,2,6,18,tensor([[0]])
347,3,4,7,2,4,3,7,2,tensor([[0]])
348,6,7,13,5,7,6,16,2,tensor([[0]])
349,8,8,17,2,8,8,16,3,tensor([[0]])
350,13,13,26,5,13,13,25,6,tensor([[0]])
351,11,10,22,5,10,11,22,5,tensor([[0]])
352,14,10,24,9,10,14,28,5,tensor([[1]])
353,20,16,40,8,16,20,41,7,tensor([[1]])
354,22,18,40,6,18,22,37,9,tensor([[0]])
355,3,1,5,4,1,3,5,4,tensor([[0]])
356,1,7,8,4,7,1,4,8,tensor([[0]])
357,3,9,13,9,9,3,19,3,tensor([[0]])
358,0,12,12,15,12,0,5,22,tensor([[0]])
359,3,6,14,7,6,3,12,9,tensor([[0]])
360,3,16,19,0,16,3,3,16,tensor([[0]])
361,3,7,11,6,7,3,14,3,tensor([[1]])
362,10,5,15,3,5,10,16,2,tensor([[0]])
363,3,18,23,5,18,3,18,10,tensor([[0]])
364,1,24,26,5,24,1,8,23,tensor([[0]])
365,8,26,35,3,26,8,16,22,tensor([[0]])
366,5,28,35,4,28,5,13,26,tensor([[0]])
367,12,32,46,3,32,12,20,29,tensor([[0]])
368,5,39,45,11,39,5,16,40,tensor([[0]])
369,2,3,5,6,3,2,11,0,tensor([[0]])
370,8,5,13,2,5,8,14,1,tensor([[0]])
371,10,10,21,9,10,10,22,8,tensor([[0]])
372,0,9,10,6,9,0,5,11,tensor([[0]])
373,3,2,5,3,2,3,4,4,tensor([[0]])
374,6,1,7,3,1,6,7,3,tensor([[0]])
375,9,9,20,5,9,9,22,3,tensor([[0]])
376,4,4,8,2,4,4,7,3,tensor([[0]])
377,8,6,14,3,6,8,13,4,tensor([[0]])
378,1,20,22,6,20,1,4,24,tensor([[0]])
379,2,29,31,7,29,2,5,33,tensor([[0]])
380,7,7,14,8,7,7,18,4,tensor([[0]])
381,8,7,15,6,7,8,15,6,tensor([[0]])
382,8,8,16,6,8,8,20,2,tensor([[0]])
383,15,11,26,5,11,15,25,6,tensor([[0]])
384,18,12,30,4,12,18,26,8,tensor([[1]])
385,9,12,22,7,12,9,22,7,tensor([[0]])
386,7,14,22,9,14,7,22,9,tensor([[0]])
387,9,12,22,7,12,9,22,7,tensor([[1]])
388,7,20,29,6,20,7,25,10,tensor([[0]])
389,15,15,30,9,15,15,27,12,tensor([[0]])
390,11,9,21,6,9,11,22,5,tensor([[0]])
391,24,18,42,7,18,24,38,11,tensor([[0]])
392,15,13,28,7,13,15,25,10,tensor([[0]])
393,0,1,1,8,1,0,4,5,tensor([[0]])
394,0,6,6,6,6,0,4,8,tensor([[0]])
395,0,8,9,2,8,0,1,10,tensor([[0]])
396,1,4,7,4,4,1,7,4,tensor([[0]])
397,0,11,11,5,11,0,2,14,tensor([[0]])
398,0,5,6,9,5,0,4,11,tensor([[0]])
399,0,0,4,4,0,0,4,4,tensor([[0]])
400,1,1,4,7,1,1,4,7,tensor([[0]])
401,0,4,4,8,4,0,7,5,tensor([[0]])
402,8,5,13,3,5,8,15,1,tensor([[0]])
403,0,8,8,8,8,0,8,8,tensor([[0]])
404,0,14,14,5,14,0,10,9,tensor([[0]])
405,3,5,8,2,5,3,6,4,tensor([[0]])
406,3,3,6,5,3,3,10,1,tensor([[0]])
407,12,9,23,4,9,12,23,4,tensor([[0]])
408,2,2,4,8,2,2,4,8,tensor([[0]])
409,2,1,3,6,1,2,2,7,tensor([[0]])
410,4,3,7,6,3,4,11,2,tensor([[0]])
411,8,8,16,12,8,8,21,7,tensor([[0]])
412,6,11,18,3,11,6,18,3,tensor([[0]])
413,5,13,19,3,13,5,18,4,tensor([[0]])
414,8,11,19,3,11,8,19,3,tensor([[0]])
415,7,18,26,4,18,7,19,11,tensor([[0]])
416,8,19,29,5,19,8,20,14,tensor([[0]])
417,10,4,14,5,4,10,16,3,tensor([[0]])
418,6,4,10,1,4,6,10,1,tensor([[0]])
419,1,12,15,2,12,1,3,14,tensor([[0]])
420,3,12,17,2,12,3,12,7,tensor([[0]])
421,5,12,19,3,12,5,16,6,tensor([[0]])
422,1,1,2,4,1,1,1,5,tensor([[0]])
423,5,5,10,3,5,5,10,3,tensor([[0]])
424,0,4,7,3,4,0,4,6,tensor([[0]])
425,0,17,17,5,17,0,4,18,tensor([[0]])
426,5,19,24,3,19,5,9,18,tensor([[0]])
427,1,17,20,11,17,1,6,25,tensor([[0]])
428,2,18,20,13,18,2,7,26,tensor([[0]])
429,11,13,24,5,13,11,15,14,tensor([[1]])
430,1,21,24,9,21,1,4,29,tensor([[0]])
431,6,10,16,17,10,6,19,14,tensor([[0]])
432,5,11,16,6,11,5,21,1,tensor([[0]])
433,12,23,37,6,23,12,28,15,tensor([[0]])
434,8,17,26,6,17,8,24,8,tensor([[1]])
435,16,29,48,4,29,16,30,22,tensor([[0]])
436,9,9,20,1,9,9,19,2,tensor([[0]])
437,3,23,27,2,23,3,5,24,tensor([[0]])
438,5,7,13,5,7,5,16,2,tensor([[0]])
439,4,6,10,3,6,4,11,2,tensor([[0]])
440,1,6,7,5,6,1,9,3,tensor([[0]])
441,0,11,11,6,11,0,2,15,tensor([[0]])
442,12,7,20,7,7,12,20,7,tensor([[0]])
443,11,10,22,5,10,11,21,6,tensor([[1]])
444,16,28,45,15,28,16,42,18,tensor([[0]])
445,19,18,38,13,18,19,35,16,tensor([[0]])
446,4,2,6,4,2,4,6,4,tensor([[0]])
447,2,13,17,3,13,2,2,18,tensor([[0]])
448,3,29,32,1,29,3,10,23,tensor([[0]])
449,2,14,16,10,14,2,6,20,tensor([[0]])
450,0,16,16,7,16,0,3,20,tensor([[0]])
451,0,9,9,6,9,0,9,6,tensor([[0]])
452,1,17,18,13,17,1,7,24,tensor([[0]])
453,13,17,30,7,17,13,25,12,tensor([[0]])
454,1,15,16,5,15,1,4,17,tensor([[0]])
455,1,27,28,10,27,1,8,30,tensor([[0]])
456,1,5,6,5,5,1,9,2,tensor([[0]])
457,8,25,33,4,25,8,22,15,tensor([[0]])
458,1,5,6,3,5,1,3,6,tensor([[0]])
459,11,14,26,3,14,11,21,8,tensor([[0]])
460,5,6,13,1,6,5,7,7,tensor([[0]])
461,4,6,11,2,6,4,11,2,tensor([[0]])
462,2,12,15,2,12,2,13,4,tensor([[0]])
463,2,13,16,0,13,2,8,8,tensor([[0]])
464,4,8,12,7,8,4,11,8,tensor([[0]])
465,4,5,10,1,5,4,8,3,tensor([[0]])
466,3,7,11,3,7,3,11,3,tensor([[0]])
467,2,13,15,6,13,2,13,8,tensor([[0]])
468,14,6,21,2,6,14,22,1,tensor([[0]])
469,4,31,39,5,31,4,30,14,tensor([[0]])
470,0,5,5,4,5,0,6,3,tensor([[0]])
471,5,6,11,4,6,5,11,4,tensor([[0]])
472,4,5,11,3,5,4,10,4,tensor([[0]])
473,0,8,10,4,8,0,4,10,tensor([[0]])
474,8,8,16,4,8,8,15,5,tensor([[0]])
475,9,12,21,8,12,9,19,10,tensor([[0]])
476,13,6,20,5,6,13,21,4,tensor([[0]])
477,8,9,17,5,9,8,20,2,tensor([[0]])
478,10,15,25,5,15,10,21,9,tensor([[0]])
479,9,14,24,5,14,9,21,8,tensor([[0]])
480,10,34,47,6,34,10,24,29,tensor([[0]])
481,1,4,5,3,4,1,2,6,tensor([[0]])
482,4,7,12,4,7,4,11,5,tensor([[0]])
483,1,3,4,4,3,1,6,2,tensor([[0]])
484,0,8,9,2,8,0,7,4,tensor([[0]])
485,2,11,14,6,11,2,15,5,tensor([[0]])
486,0,9,12,11,9,0,9,14,tensor([[0]])
487,3,7,10,5,7,3,9,6,tensor([[0]])
488,5,12,17,3,12,5,16,4,tensor([[0]])
489,7,6,13,6,6,7,16,3,tensor([[0]])
490,0,8,8,9,8,0,4,13,tensor([[0]])
491,7,17,25,4,17,7,16,13,tensor([[0]])
492,7,19,27,4,19,7,14,17,tensor([[0]])
493,7,6,13,3,6,7,14,2,tensor([[0]])
494,5,3,9,3,3,5,9,3,tensor([[0]])
495,5,9,16,3,9,5,16,3,tensor([[0]])
496,5,15,21,12,15,5,21,12,tensor([[0]])
497,9,18,28,5,18,9,23,10,tensor([[0]])
498,16,17,33,2,17,16,29,6,tensor([[1]])
499,20,22,42,16,22,20,38,20,tensor([[1]])
500,16,26,42,16,26,16,41,17,tensor([[0]])
501,0,8,8,8,8,0,7,9,tensor([[0]])
502,4,21,25,7,21,4,18,14,tensor([[0]])
503,7,6,13,5,6,7,14,4,tensor([[0]])
504,12,11,23,7,11,12,21,9,tensor([[0]])
505,4,7,11,9,7,4,14,6,tensor([[0]])
506,4,5,9,6,5,4,11,4,tensor([[0]])
507,6,9,16,4,9,6,17,3,tensor([[0]])
508,7,7,15,3,7,7,14,4,tensor([[0]])
509,5,4,9,3,4,5,11,1,tensor([[0]])
510,0,8,11,3,8,0,4,10,tensor([[0]])
511,4,6,10,8,6,4,11,7,tensor([[0]])
